title,google_news_link,reason
"Tabanan Diprediksi Hujan, Intip Prakiraan Cuaca BMKG Bali 26 September 2026 - detikcom",https://news.google.com/rss/articles/CBMiugFBVV95cUxNbkZacXNGeVlOVnBnZjJmZ1RyZmI5U2w3anFnbHYtUGgxZVh4bFhncnFmcmZCRVZKV1lyckJhdjY4Q3ZkRmhOZ1ptcWwyM3JWc0FtQjc5anByVmJ0emlRT0pvYXhvZEpvNFg4dUFvclJRMW51X1J0d0djOXJPTEV4dUxWaDJZVTFvRmZETWNwQTl5b0d3M2RGWG5DOVBDWkZfVC1iR0YyeWhRWWYxNnNlb01jSGRhWmMwT2fSAb8BQVVfeXFMTXFJR1VrTm9RUUduZlNGblN1R0xEVU1WMG9jaURtMjNYVC1fREExMkpyUnlneFZQaTMxQy1vTUxobVpqYzdoai00U09qaG9qdmw2d2E0empXam9jZmU0R1RhYUlUYnF3QWRGSDI5QkhtYUNYbzdzd3Z2dHE1bUJLaVd6MVBrbGNrUTdWbE5iY0hDVUlucUVpQkt3VEN4U0ticHpoYVZDWTJNNFlxR0Z3YWNZSklkY2VuQ3cyb3pjdWs?oc=5,URL resolve failed
Bunda Rai Minta Sinergi PKK-Posyandu Harus Diperkuat hingga Desa - NUSABALI.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxObmJhVGlaVzB2QWlVbUZ0OFp1X1QyOHgyWGl3QTY4c1V3eUZuSHJCVTA5LTdFbVpzNUxUTkh2MnNZVDZwdUxSUHQzaVJiaHU0RE9YSHJ3cUZ3NW91STBSS3c1ajZ0M3oxS2xFRWZyS3IwN2VVdUJOcnRzdjRicjRmajRkb01BOFRvd0NONFFlNTF5TndlN3dIdXBHQmZkRF9TTUlaeVpn?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/232047/bunda-rai-minta-sinergi-pkk-posyandu-harus-diperkuat-hingga-desa on URL https://www.nusabali.com/berita/232047/bunda-rai-minta-sinergi-pkk-posyandu-harus-diperkuat-hingga-desa
Ngidam Anti Mainstream! Ibu Hamil di Bali Ingin Naik Mobil Pemadam Kebakaran - Radar Buleleng,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOYVl2RjBrRHRxS1YySllLazJ5NDFnN0w0TUVHbkFsLS1CTTJoZzZrOUYyWVRjYnhtNmdhUlJVN2NyS3lDSWRab3pGYXRVY3NBbkFrWjdXdUJWdmx6VlFMTUpIOHgwOFFtNktqbmJPS2tIVTZwU2J2bUY3YmRGeW5MY1ZDcnVCdEdsX1FXdEZPOUp6Xy01aVhqZngtdWN3RU02V1pvMGFtRGRLWlk2MWx0aXhTTWU5WmZVWEJLeUQ1cEJyTUnSAcgBQVVfeXFMTzJ2c25sbGc4R19EaEI2UzN6S2pKQTNOeXlOLVFfV0dBZ2UwRGZtTUdKNXVWR3ZYbm9sNDh3Q2tlcFJPSGRDQmI0U0h5MmdEbHlydUhYN015MDlMbmdqZHYyQkpUSGJ5ajRQRldjYUNZZzBMQnMzeWhTaWhISnY4NnVyd0pFX0JsMUREbHgydk5ZZEpwcElaWE5SOVRGTUNFbEw4UFM5NUdJNjZCenZqSVk5dXQwcnJSa01jWlNFX2NkMnF0VVlyWnU?oc=5,URL resolve failed
"Gedung Baru BKPSDM Tabanan Diresmikan, Bupati Sanjaya Tekankan Peningkatan Pelayanan ASN - balipuspanews.com",https://news.google.com/rss/articles/CBMivwFBVV95cUxNbzhBdWQ4WWVFLXpvZHpfVEFxbURGcE5pYkJGaldCQ1NqTzl1NWhuX0dUUFpkRU9aTUk5T0otbjBGR25RbkwxVXo0ZG1aTkxwZTJiZC1lZ1FfdFpSellTTzJUeFl0SHZQSk1McHVkQWJiUEJ1T1JfdC03YUZjYW1XOHhwakdQWEVGZnpZYlAyRlllTzhBd0xzaUQ1VXVyLVJWU3l0RlBmYm5iaTdsT21JNVhlUkx3YklmM2JMMWphUQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.balipuspanews.com/gedung-baru-bkpsdm-tabanan-diresmikan-bupati-sanjaya-tekankan-peningkatan-pelayanan-asn.html on URL https://www.balipuspanews.com/gedung-baru-bkpsdm-tabanan-diresmikan-bupati-sanjaya-tekankan-peningkatan-pelayanan-asn.html
BPBD Tabanan Suplai Air Bersih di Dua Desa di Kemarau Ini - Kilas Bali,https://news.google.com/rss/articles/CBMilgFBVV95cUxOUDI1V0x1czJyZVFLc3FMS254YXpINVgwemsyR0pfalIxc3l0d29PWDI2RjI5YTZDenhIR3RmSDBFZlRmR1lfcFR0N3dWcENDYjFOUmhCVjZ5SGVmTFhjWmR1eTJudHhYc1dPSjNNVDhqdHhkdGFHR0ZfMTlFVU40MXZxWXI1cGNIQVJwMkFGOF9EYWpPZUE?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://kilasbali.com/2026/09/25/bpbd-tabanan-suplai-air-bersih-di-dua-desa-di-kemarau-ini/ on URL https://kilasbali.com/2026/09/25/bpbd-tabanan-suplai-air-bersih-di-dua-desa-di-kemarau-ini/
Jangan Lewatkan Jadwal SIM Keliling Tabanan-Badung Hari Ini 26 September 2026 - detikcom,https://news.google.com/rss/articles/CBMivgFBVV95cUxOV2lDQWZ2dDdYU0JhRHFWMktPdHNnbFk1d1p6aTBfOEJmY2l2dGh2YmJTNUk3TzlXcDFhNEJmSnZ0UXVCOWxpbldEUUhZVjctYVBtcHBWZEc0ZVNQTWxkY1VpMENSdVlXcHVSREF2akgxOW4xdVJhcnpTVlBqVXc0QUVyTlpMRVotRnFLRlVCbUpzWmZxNGxQTXV1SUtDNlRkRkc3SGNxeWluTUtVa2lyWUxJVm9uM1gwZHFmWDJB0gHDAUFVX3lxTE4xWUdsSi0xaW50bUd2MGFjT1lOVlBXbldUeGFxcnNoT1UwUUZfc3phb2JzYkVLNFVrMUJtRVZoSXM3N3U3YnU1ZXNzQmYtMnVUbzlQd2ZpalQxdUxIRk4zc0JNTk1UV0c0WXg2d19fc0JRTHpqeXl3dXBzOWZPNVp2cThOTkl0MUZFM3lUUU0yVnlQVng4aDhpd3JTY2haT1pTel9XazMwcG1KMXJzcVpENy1xVlBuaFAtdnJqdVB6YzlFNA?oc=5,URL resolve failed
Bawaslu Tabanan Lakukan Uji Petik untuk Cari Pemilih TMS - Kilas Bali,https://news.google.com/rss/articles/CBMilAFBVV95cUxPSlpNNkdtMEFXdmNfdU9tTGtJTF9HMzZkS1NjX01IMmlLV2gzeFRQNHpKOEg5Xy12WW8yQ3VTZEsxYUxFTTNrODVyWlNlLVllYzdSQi1vT0FyRTZfYU8wVHVBc1Z3b3Bmcy1pQlNDdjFfUFlfYlUyaHZwU0g2MTF3UmpPZGc2Rm5tV29QR0s4dTFkOVNM?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://kilasbali.com/2026/09/25/bawaslu-tabanan-lakukan-uji-petik-untuk-cari-pemilih-tms/ on URL https://kilasbali.com/2026/09/25/bawaslu-tabanan-lakukan-uji-petik-untuk-cari-pemilih-tms/
"Kemarau Panjang, BPBD Tabanan Suplai Air Bersih ke Dua Desa - NUSABALI.com",https://news.google.com/rss/articles/CBMingFBVV95cUxPVDBQZzVQbE5jeGcxa3NmRDAxTnU0M3REbFJGOWhJVDdycW5OUGw1d0tHU2VNODVYbXQyeVNJSl8tdnRReXFDTVlJTjQ0aVRFWmwxZnB1OHhHSi05dTI0OFpIMGdxQ3d5MHhaYXNadUk1ZGxiOE1PLXozTXhPQzg0ZTZIZzYtYUdyd3hJYVlzLXBia3B5U01BWUZPMWFxUQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/232003/kemarau-panjang-bpbd-tabanan-suplai-air-bersih-ke-dua-desa on URL https://www.nusabali.com/berita/232003/kemarau-panjang-bpbd-tabanan-suplai-air-bersih-ke-dua-desa
"Bawaslu Uji Petik DPN 2026 di Banjar Anyar, Tabanan - NUSABALI.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxNay1HZmZlU3BTNF9JaVhRN01hVzM3TmFMRlg1OHR3eG14anZpRllPTnFOdWc3Z1BKZm9xTE81d2J4Y2xIUFVHd0RIcl9ldXYweDhuaDhJdHowM0FpWk9yRlVlbExnZVdwWXBicXpWZkNXOVRUaW9seGpqMUFLajBWQ18wdUVON2ZwZ3BXTjRoSG5tUjg?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/231998/bawaslu-uji-petik-dpn-2026-di-banjar-anyar-tabanan on URL https://www.nusabali.com/berita/231998/bawaslu-uji-petik-dpn-2026-di-banjar-anyar-tabanan
Latihan Kader Bela Negara Tingkat Pratama Resmi Ditutup - RRI.co.id,https://news.google.com/rss/articles/CBMioAFBVV95cUxNSTVkMXZlU3hiQ3FkbkxUREtleVZGdDF6enplQll1dnNQT0d2Yzh3M2tWX0l4RG1VRmpOeXBlLWJZOVJ2NnNmZUVPNTR1SmZhd1dMV3RuZ0VjT3ZTZV8yTzBOanRPVXo4RDNPTTZlSmt3dEtObGVBUFZTSkJIWldMTERDWklvY1pXT1o1SFNhLUZMb0JaekVPOVZQTUFVUFZs?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2759589/latihan-kader-bela-negara-tingkat-pratama-resmi-ditutup on URL https://rri.co.id/denpasar/regional/2759589/latihan-kader-bela-negara-tingkat-pratama-resmi-ditutup
"Digembleng Tiga Hari, 325 Tokoh Agama hingga Ormas Tuntas Ikuti Bela Negara - bisnisbali.com",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNSXVKc2dJX2Jqc3d1UWh5dzdnQ0tOa0N0S3NCU3pUeGZ2aWNHVEM2QWJpaENuQkpRMnNHdXhPaU5CLWdjZ2p3RGpYRDVzWEhycWFYSXY1UExEYVg4WW5sVU5hV3JtR3FlVXdQN244ZXM3VmlPbG5pWkNjc0pxdGhHYkM0VmQ5TmdmVExmc2xzeGU0TG15c0dpN0pFZWhIWS14QW1FOXJiTGlDWGREWnVMNXB6X3F6QnQ4Q3M1YVhGMHI?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.bisnisbali.com/2026/09/25/27310/digembleng-tiga-hari-325-tokoh-agama-hingga-ormas-tuntas-ikuti-bela-negara.html on URL https://www.bisnisbali.com/2026/09/25/27310/digembleng-tiga-hari-325-tokoh-agama-hingga-ormas-tuntas-ikuti-bela-negara.html
"Sembunyikan Kokain di Paspor, WNA Diringkus di Bandara Ngurah Rai - Radar Buleleng",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPYkUxbklfMW4zenFqNktiZnE5SVg5YlZadkhORGFFNXFDSXltdVlLTG9lVzAzOXFMVE55Q294Mzl2cVNleUh6bGVZWmdDcWVNQl93MGIzUmpqaUlEVm03QUxJbkFKb0daTDFmSUhSQnkzcWtidFVXN0sySGthbnVYbElNb1dmTG5Qc3FEdk9pSC0xVkdJbmd2SXdYdms2cUM3bEF4djZKLXE2VlY1WVk4RkJJNXZtU3NvUURxTTMtT0JUZ9IBxwFBVV95cUxQc0VCbDVBanBRd1RTUUQzOHp2LVg4Mlh3N09nanpCdHFmMFFEaHdtQ01LTkZOYW5adnUxT0F0dmpoRUM3NXJGaE1jMGZrUERQOF9TMy1GUllSR0dLWVl2WVFKOE95ZTdQc0o5X243Z2d1b3R6Tkt6cVo0a3REckFQWUVubjNfQ18xanB5VERfTmRlVGJOY2FkakVkTVRMVGwydTVVZ3ptZXhqN0JjZmRCOEFHc2Q5TzZaUnFEUkRYd0xTeUpabmtz?oc=5,Empty 'how' (No article body text found)
"Dua Fotografer Raih FOTO Bali Award Perdana, Angkat Isu Kesehatan Mental dan Perubahan Iklim - PT Suara Dewata Media",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNX2lHdGIybFlrM3RMTjRJZGxDOHlubjZ4UUZLX0wwS1d1SEJqeFRkSUlldjB2NEFfQjFERE1BWGg4SmNzcmIzWDNJU0lZSXFxdVRJVjVUSW9hLS0wS2tKTDNYa3JFeDNJYk91ZGVhQnFhbzNoOHNoM1dDenJ5VkR4Sm1OMUo2WjZ0UkJBR0FOYVk5d3Q4VkpRZEFMWmNib0NBbTFSVVF1S3J5T0dyX3BKOU9FNmdpNDdkVXZvZVQtbmhqNmM5d2FFV3owZDhtT0k5MmxldmpuVUd4Zw?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.suaradewata.com/berita/202405217796/dua-fotografer-raih-foto-bali-award-perdana-angkat-isu-kesehatan-mental-dan-perubahan-iklim%7D on URL https://www.suaradewata.com/berita/202405217796/dua-fotografer-raih-foto-bali-award-perdana-angkat-isu-kesehatan-mental-dan-perubahan-iklim%7D
"Prediksi Cuaca Bali Hari Ini,Sabtu (26/9/2026) : Serba Cerah Berawan - Radar Bali",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPZjA4c2N3Smo3Ylg5WU5qQ1ZqT1h6bzB3N2NIME9XT3Y5M2RuOEQxZXlTdjBuaTU3NjE1NlRwUTJqVV84dnZxb1dfV0RuRFdsVkhzZV9fODItOHZZaEJrbzNHQ1V5QW9YWGpVRGk5YW81ZFNtYjRDTlNvcWN2ZmNmOWZSRG8yd2RZdHdKbU9pMTlJdVR3eXRrM19sSlhacDJMV2RvLUlIVWZLa2fSAbABQVVfeXFMUE5YRzR1WDQwVGpLUmE0VDdtTmpnOEdycjdyOVJwai1kUk84NGdNcTEwN1lTenZXNDZCS1FlN0RvZnJVcENJYmZhNXhNV1RNR0RWT1hLdDBiY1p6MGlqX2h2U0lQQUgyZ0xteU5pVHVSMHVBdWdmMjRLczVmM2llbmxvWmYzYWRGSFgxaDZaN2VIYml4MVVIUlhnVEpLUS1NaExFaVFSTlBJZkxLWFI5Z0Y?oc=5,Empty 'how' (No article body text found)
Bupati Badung Komit Perluas Beasiswa Perguruan Tinggi - Kilas Bali,https://news.google.com/rss/articles/CBMikAFBVV95cUxQMWxMUFZKRU9LWWFhdnZjZnVyc20xby1ZNmwwd2Njd2liQnJldnAzXzJBWlF4Z1VLX1RraUJQWGkzVjV0d0lKSldBNm9MdkRBczlKSGpFT1dhTUFLSWZqSXR0b1BjOXAyN1h2TE9RaXlHNUlFSTh5LWRhcklmSlRSUkZ3UU94dnhzUXNOdUJpQUI?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://kilasbali.com/2026/09/25/bupati-badung-komit-perluas-beasiswa-perguruan-tinggi/ on URL https://kilasbali.com/2026/09/25/bupati-badung-komit-perluas-beasiswa-perguruan-tinggi/
Warga Badung Sukarela Serahkan Elang Tikus ke BKSDA Bali - RRI.co.id,https://news.google.com/rss/articles/CBMiogFBVV95cUxPS2JudVh1TmdfTXRBNHNNdEh3cjhYdlJyaGtCRmtVRF84N0lYNFNoOFJNeXZIb2JHWWI5QlhDZl9fUUZXa294WnNlS2dTeEJRUjFmUHRKeUdwcVlFaFl6VV9FSVAteUFpT1Z0VlV5NS0yT1pOenpiV2s4VGFMQ05BbHZocmxxSDB4VmJvMjVGY21JT3BOOGthNjZuZ003Yk9Qb3c?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2761644/warga-badung-sukarela-serahkan-elang-tikus-ke-bksda-bali on URL https://rri.co.id/denpasar/regional/2761644/warga-badung-sukarela-serahkan-elang-tikus-ke-bksda-bali
"Besok Sore, Jalan Raya Kapal Ditutup Sementara - NUSABALI.com",https://news.google.com/rss/articles/CBMijAFBVV95cUxPV1MwZVBqQjRNQ2M3NHdtTnRUQ29hek9LNnRFWjNMU1N4WDJfZWFZY015NlMyZzhDZ1FlTXhIS3pmX0NRdHNUSkpQLWRvVWdiUmJEUUZVc0ZucDJUZUtleGQ0NC1GX01lNktTQzBYWEFwa1FjQ09HZ2RYd0hLcTVvZEhwalpBZ1NLeUdjcA?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/232034/besok-sore-jalan-raya-kapal-ditutup-sementara on URL https://www.nusabali.com/berita/232034/besok-sore-jalan-raya-kapal-ditutup-sementara
